Champion,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
AatroxAatrox,TOP,God / S+,90.41,+2.32,48.83%,94.32%,12.46%,36.53%,1.85
AhriAhri,MID,Strong / S,58.39,+3.19,50.17%,91.30%,5.39%,2.95%,2.37
AkaliAkali,MID,God / S+,71.67,+10.26,47.20%,80.14%,9.86%,12.95%,2.31
AkaliAkali,TOP,Weak / C,41.73,-1.23,46.10%,19.11%,2.29%,12.95%,2.03
AkshanAkshan,MID,Fair / B,44.51,-8.65,48.15%,63.28%,2.80%,5.30%,2.08
AkshanAkshan,TOP,Bad / D,37.46,+0.21,46.59%,23.09%,1.07%,5.30%,1.82
AlistarAlistar,SUPPORT,Fair / B,43.52,-3.69,49.19%,94.10%,2.54%,0.68%,2.42
AmumuAmumu,SUPPORT,Good / A,51.00,-9.71,50.46%,52.12%,4.94%,7.97%,2.03
AmumuAmumu,JUNGLE,Good / A,50.01,-1.27,50.71%,47.18%,3.31%,7.97%,2.58
AniviaAnivia,SUPPORT,Good / A,49.37,+11.87,55.34%,14.63%,0.50%,3.39%,2.37
AniviaAnivia,MID,Fair / B,48.35,-8.98,48.85%,80.26%,2.77%,3.39%,2.59
AnnieAnnie,MID,Fair / B,44.55,-2.78,49.36%,76.68%,1.75%,0.91%,2.40
AnnieAnnie,SUPPORT,Bad / D,34.31,+1.85,47.27%,17.90%,0.95%,0.91%,1.93
ApheliosAphelios,ADC,Weak / C,40.55,-2.71,44.43%,97.91%,9.02%,1.21%,1.92
AsheAshe,ADC,Strong / S,59.20,+2.49,50.49%,69.75%,9.65%,4.10%,2.44
AsheAshe,SUPPORT,Fair / B,47.05,+3.72,49.54%,26.69%,3.81%,4.10%,2.30
Aurelion SolAurelion Sol,MID,Weak / C,40.16,+5.05,49.45%,89.58%,0.59%,0.31%,2.27
AzirAzir,MID,Fair / B,42.95,+0.38,44.87%,93.45%,4.45%,1.60%,1.95
BardBard,SUPPORT,Good / A,51.56,+2.88,51.27%,95.25%,3.39%,0.56%,3.01
Bel'VethBel'Veth,JUNGLE,God / S+,67.42,-3.21,51.01%,94.86%,7.39%,27.74%,2.25
BlitzcrankBlitzcrank,SUPPORT,God / S+,77.29,-0.26,51.43%,67.96%,8.60%,42.12%,2.48
BlitzcrankBlitzcrank,JUNGLE,Fair / B,43.84,-0.81,44.97%,28.51%,3.35%,42.12%,2.21
BrandBrand,SUPPORT,Fair / B,48.14,-0.87,51.29%,74.25%,3.67%,4.02%,1.88
BrandBrand,MID,Fair / B,44.11,-5.67,51.48%,19.28%,1.01%,4.02%,2.03
BraumBraum,SUPPORT,Weak / C,38.36,-2.37,47.18%,97.07%,1.92%,0.31%,2.41
CaitlynCaitlyn,ADC,God / S+,83.45,-1.61,49.73%,97.60%,17.33%,16.59%,2.30
CamilleCamille,TOP,Strong / S,59.86,+6.34,50.26%,95.81%,6.37%,3.50%,2.00
CassiopeiaCassiopeia,MID,Weak / C,42.03,-2.83,48.34%,79.32%,2.14%,1.92%,2.02
CassiopeiaCassiopeia,TOP,Bad / D,34.07,-23.30,46.36%,10.34%,0.29%,1.92%,1.69
Cho'GathCho'Gath,TOP,Fair / B,46.72,-2.09,49.66%,67.02%,1.93%,0.69%,2.04
Cho'GathCho'Gath,MID,Weak / C,42.00,-2.96,50.90%,16.99%,0.50%,0.69%,2.17
CorkiCorki,MID,Weak / C,37.74,+3.70,48.51%,85.93%,0.77%,0.25%,2.03
CorkiCorki,ADC,Bad / D,7.85,999NEW,40.00%,11.51%,0.07%,0.25%,1.84
DariusDarius,TOP,God / S+,76.00,+6.18,49.30%,93.13%,10.34%,25.30%,1.82
DianaDiana,JUNGLE,Good / A,55.00,-1.23,51.01%,72.53%,5.27%,3.91%,2.42
DianaDiana,MID,Fair / B,45.98,+0.28,50.76%,25.67%,1.78%,3.91%,2.14
Dr. MundoDr. Mundo,JUNGLE,Good / A,54.99,+16.63,57.40%,11.88%,0.35%,1.47%,2.97
Dr. MundoDr. Mundo,TOP,Good / A,52.00,+3.08,51.32%,74.35%,2.43%,1.47%,2.17
DravenDraven,ADC,Fair / B,46.39,-4.59,46.89%,94.56%,6.97%,23.19%,2.03
EkkoEkko,JUNGLE,Strong / S,64.24,-5.09,50.85%,63.76%,7.25%,9.32%,2.93
EkkoEkko,MID,Strong / S,56.03,-1.32,51.85%,34.06%,3.65%,9.32%,2.30
EliseElise,JUNGLE,Good / A,49.11,+7.20,50.48%,92.66%,3.28%,1.71%,2.64
EvelynnEvelynn,JUNGLE,Good / A,53.03,+3.91,48.65%,96.99%,5.09%,6.66%,2.91
EzrealEzreal,ADC,God / S+,69.35,+5.83,49.03%,94.21%,14.88%,2.73%,2.47
FiddlesticksFiddlesticks,JUNGLE,Good / A,54.84,-1.43,51.26%,87.10%,4.35%,8.92%,2.70
FioraFiora,TOP,God / S+,67.52,+2.92,48.77%,98.35%,8.99%,20.10%,1.71
FizzFizz,MID,Strong / S,56.04,-0.78,49.92%,96.47%,4.52%,6.32%,2.46
GalioGalio,MID,Strong / S,60.22,+10.51,55.18%,83.19%,2.88%,0.65%,2.63
GalioGalio,SUPPORT,Bad / D,35.02,-4.46,47.67%,13.40%,0.43%,0.65%,2.25
GangplankGangplank,TOP,Good / A,48.81,+0.05,47.12%,76.97%,4.61%,4.43%,1.93
GangplankGangplank,MID,Weak / C,40.37,-8.03,48.87%,21.69%,1.05%,4.43%,2.20
GarenGaren,TOP,Strong / S,63.21,+3.99,51.78%,85.78%,6.43%,2.60%,2.08
GnarGnar,TOP,Fair / B,42.52,-0.42,47.27%,93.01%,2.51%,0.46%,1.84
GragasGragas,TOP,Weak / C,40.05,+3.62,46.34%,50.46%,1.98%,0.43%,1.96
GragasGragas,MID,Bad / D,37.30,+11.90,48.05%,17.77%,0.61%,0.43%,2.20
GragasGragas,JUNGLE,Bad / D,34.05,-2.30,45.99%,21.08%,0.66%,0.43%,2.75
GragasGragas,SUPPORT,Bad / D,11.16,-20.39,34.85%,10.15%,0.32%,0.43%,2.06
GravesGraves,JUNGLE,God / S+,87.75,-5.97,48.30%,91.12%,14.53%,22.33%,2.58
GwenGwen,TOP,Fair / B,46.52,+3.95,49.59%,85.44%,2.70%,0.77%,1.68
HecarimHecarim,JUNGLE,Strong / S,64.83,-6.83,49.81%,98.56%,7.45%,19.43%,2.73
HeimerdingerHeimerdinger,MID,Good / A,52.85,+2.78,54.24%,39.39%,1.96%,4.29%,2.11
HeimerdingerHeimerdinger,SUPPORT,Fair / B,48.30,+10.64,52.54%,36.85%,2.56%,4.29%,2.05
HeimerdingerHeimerdinger,TOP,Weak / C,38.79,-15.05,48.43%,14.15%,0.74%,4.29%,1.61
IllaoiIllaoi,TOP,Fair / B,47.72,-1.26,49.66%,89.98%,3.49%,6.51%,1.41
IreliaIrelia,MID,Good / A,49.57,-5.46,51.43%,41.53%,2.79%,8.76%,1.84
IreliaIrelia,TOP,Fair / B,46.50,+1.20,47.72%,56.78%,3.92%,8.76%,1.58
IvernIvern,JUNGLE,Weak / C,39.51,+0.45,47.31%,73.22%,0.92%,0.70%,3.22
IvernIvern,MID,Bad / D,31.94,999NEW,44.26%,11.42%,0.17%,0.70%,2.76
IvernIvern,SUPPORT,Bad / D,26.02,-16.92,43.08%,12.17%,0.14%,0.70%,2.22
JannaJanna,SUPPORT,Strong / S,59.18,-3.91,51.90%,97.77%,5.67%,2.32%,3.19
Jarvan IVJarvan IV,JUNGLE,Fair / B,48.08,-3.28,48.68%,89.07%,3.36%,0.27%,3.07
JaxJax,TOP,Strong / S,57.06,-0.45,50.02%,83.86%,5.93%,7.07%,1.70
JaxJax,JUNGLE,Fair / B,45.20,+17.82,53.26%,13.83%,0.80%,7.07%,2.21
JayceJayce,MID,Fair / B,44.80,+18.02,52.27%,19.05%,0.68%,0.42%,2.12
JayceJayce,TOP,Fair / B,43.85,+7.27,47.35%,77.56%,3.29%,0.42%,1.69
JhinJhin,ADC,God / S+,70.40,+1.64,51.51%,96.61%,12.10%,2.24%,2.94
JinxJinx,ADC,Good / A,53.96,-0.14,50.65%,98.58%,8.08%,0.61%,2.32
Kai'SaKai'Sa,ADC,God / S+,95.47,+7.73,51.72%,93.61%,22.12%,5.13%,2.52
KalistaKalista,ADC,Bad / D,32.63,+2.86,47.28%,91.41%,2.95%,0.83%,2.14
KarmaKarma,SUPPORT,Fair / B,47.32,-6.56,47.41%,86.06%,5.00%,0.92%,2.67
KarthusKarthus,MID,Fair / B,46.84,+12.90,52.91%,11.49%,0.48%,1.87%,2.39
KarthusKarthus,JUNGLE,Fair / B,46.78,+17.81,50.67%,64.60%,2.56%,1.87%,2.50
KarthusKarthus,ADC,Bad / D,32.48,-5.74,49.80%,16.37%,0.71%,1.87%,2.15
KassadinKassadin,MID,Good / A,48.78,-0.83,48.84%,96.80%,3.28%,4.64%,2.34
KatarinaKatarina,MID,Strong / S,58.88,+0.63,50.02%,96.76%,5.57%,5.54%,2.30
KayleKayle,TOP,Fair / B,45.30,+1.62,48.89%,77.38%,2.59%,1.09%,1.75
KayleKayle,MID,Bad / D,35.66,-12.50,47.04%,18.95%,0.51%,1.09%,2.30
KaynKayn,JUNGLE,God / S+,66.80,-2.95,49.46%,96.94%,8.92%,17.46%,2.37
KennenKennen,MID,Good / A,51.69,+0.64,55.29%,22.14%,0.46%,0.38%,2.50
KennenKennen,TOP,Weak / C,40.46,-1.39,47.25%,71.09%,1.54%,0.38%,1.93
Kha'ZixKha'Zix,JUNGLE,Good / A,55.10,+2.02,51.10%,97.51%,4.98%,2.44%,2.62
KindredKindred,JUNGLE,Good / A,55.04,-7.52,49.90%,94.01%,5.81%,10.06%,2.28
KledKled,TOP,Fair / B,47.60,+8.38,49.62%,89.29%,2.01%,1.06%,2.17
Kog'MawKog'Maw,ADC,Weak / C,39.89,+4.05,51.84%,82.82%,1.85%,0.36%,2.18
LeBlancLeBlanc,MID,Good / A,51.73,+3.55,47.29%,91.21%,4.39%,3.98%,2.71
Lee SinLee Sin,JUNGLE,Good / A,51.28,-3.57,45.20%,92.22%,7.53%,1.67%,2.58
LeonaLeona,SUPPORT,Good / A,53.90,+1.14,50.64%,97.99%,5.71%,4.72%,2.31
LilliaLillia,JUNGLE,Good / A,48.94,-2.24,50.00%,73.14%,3.53%,2.19%,2.63
LilliaLillia,TOP,Good / A,48.84,-5.61,51.64%,21.88%,0.99%,2.19%,2.18
LissandraLissandra,MID,Fair / B,44.17,-1.06,47.98%,91.78%,2.61%,0.87%,2.27
LucianLucian,ADC,Strong / S,58.11,+19.49,49.73%,92.29%,10.22%,2.11%,2.38
LuluLulu,SUPPORT,Strong / S,56.19,-3.11,47.27%,97.64%,7.93%,7.05%,2.86
LuxLux,SUPPORT,Strong / S,64.04,-0.26,50.59%,68.39%,9.13%,6.67%,2.58
LuxLux,MID,Good / A,54.28,-2.39,49.29%,29.20%,3.86%,6.67%,2.77
MalphiteMalphite,TOP,Good / A,49.49,-3.41,48.95%,66.53%,2.72%,2.21%,2.37
MalphiteMalphite,MID,Weak / C,40.04,-3.21,48.99%,14.98%,0.57%,2.21%,2.41
MalphiteMalphite,SUPPORT,Weak / C,39.93,+1.10,50.27%,11.34%,0.38%,2.21%,2.35
MalzaharMalzahar,MID,Good / A,53.41,-0.40,51.66%,92.49%,3.30%,3.45%,2.25
MaokaiMaokai,TOP,Good / A,55.19,-1.22,52.16%,27.56%,2.63%,6.57%,2.28
MaokaiMaokai,SUPPORT,Good / A,53.77,-3.91,53.06%,37.60%,3.74%,6.57%,2.40
MaokaiMaokai,JUNGLE,Good / A,53.01,-5.51,51.61%,33.62%,3.08%,6.57%,3.03
Master YiMaster Yi,JUNGLE,Strong / S,58.68,-9.86,49.19%,94.71%,6.77%,22.40%,2.00
Miss FortuneMiss Fortune,ADC,God / S+,86.06,-6.13,52.40%,93.59%,16.59%,13.92%,2.40
MordekaiserMordekaiser,TOP,Strong / S,66.01,+2.60,51.53%,75.08%,7.26%,11.03%,1.95
MordekaiserMordekaiser,JUNGLE,Fair / B,47.47,+0.31,52.32%,18.27%,1.63%,11.03%,2.48
MorganaMorgana,SUPPORT,God / S+,66.44,+0.27,51.95%,85.51%,7.57%,23.35%,2.52
NamiNami,SUPPORT,God / S+,69.15,+6.79,51.85%,99.62%,9.86%,1.13%,3.19
NasusNasus,TOP,Strong / S,64.91,+0.17,51.80%,82.47%,6.71%,8.56%,2.03
NautilusNautilus,SUPPORT,Strong / S,61.24,+3.64,51.06%,96.27%,7.97%,9.37%,2.27
NeekoNeeko,MID,Good / A,50.08,+7.02,51.76%,53.56%,2.16%,0.55%,2.36
NeekoNeeko,SUPPORT,Weak / C,39.52,+2.61,49.31%,32.00%,1.18%,0.55%,2.19
NidaleeNidalee,JUNGLE,Weak / C,39.69,-2.94,45.99%,81.09%,2.74%,0.67%,2.71
NilahNilah,ADC,Fair / B,45.34,+0.46,51.97%,93.67%,3.50%,6.27%,2.25
NocturneNocturne,JUNGLE,Good / A,54.18,+6.41,52.49%,94.60%,3.85%,1.97%,2.59
NunuNunu,JUNGLE,Fair / B,44.25,-1.20,47.53%,92.06%,3.06%,0.92%,2.88
OlafOlaf,TOP,Fair / B,48.47,-4.27,50.56%,72.53%,2.57%,2.63%,1.73
OlafOlaf,JUNGLE,Weak / C,40.90,+7.74,50.75%,24.67%,0.91%,2.63%,2.23
OriannaOrianna,MID,Fair / B,43.80,-2.28,47.51%,88.26%,2.21%,0.22%,2.61
OrnnOrnn,TOP,Strong / S,65.62,+6.12,51.97%,90.92%,6.84%,1.16%,2.29
PantheonPantheon,TOP,Good / A,55.10,+5.73,54.13%,23.36%,1.57%,1.81%,2.17
PantheonPantheon,MID,Good / A,49.11,+2.12,52.23%,24.82%,1.49%,1.81%,2.41
PantheonPantheon,JUNGLE,Bad / D,36.87,-5.34,46.92%,22.00%,1.53%,1.81%,2.48
PantheonPantheon,SUPPORT,Bad / D,35.77,-0.79,47.12%,27.89%,1.67%,1.81%,1.92
PoppyPoppy,TOP,Fair / B,44.81,-5.82,49.88%,32.61%,0.99%,1.04%,2.06
PoppyPoppy,JUNGLE,Weak / C,42.50,+5.02,49.17%,55.67%,1.83%,1.04%,2.62
PykePyke,SUPPORT,Strong / S,59.19,+1.77,49.22%,93.40%,7.98%,15.78%,2.16
QiyanaQiyana,MID,Good / A,49.25,+3.46,51.41%,77.89%,2.53%,1.47%,2.08
QiyanaQiyana,JUNGLE,Bad / D,26.74,-0.75,43.46%,16.84%,0.62%,1.47%,2.22
QuinnQuinn,TOP,Weak / C,41.06,-0.26,48.19%,77.31%,1.36%,0.87%,1.80
RakanRakan,SUPPORT,Fair / B,44.88,-2.59,48.63%,96.96%,2.99%,0.13%,2.75
RammusRammus,JUNGLE,Strong / S,60.45,+16.60,53.38%,87.66%,4.48%,6.04%,3.06
Rek'SaiRek'Sai,JUNGLE,Good / A,49.28,-3.42,51.30%,97.66%,2.85%,2.74%,2.60
RellRell,SUPPORT,Fair / B,48.36,+5.21,52.12%,94.57%,2.27%,0.47%,2.49
Renata GlascRenata Glasc,SUPPORT,Good / A,54.85,+0.88,50.76%,98.69%,5.50%,4.22%,2.64
RenektonRenekton,TOP,Good / A,48.60,+0.82,47.77%,86.18%,4.45%,1.97%,1.81
RenektonRenekton,MID,Fair / B,48.55,+3.23,54.47%,12.03%,0.61%,1.97%,2.10
RengarRengar,JUNGLE,Weak / C,38.70,-3.12,45.67%,74.43%,3.39%,3.21%,2.20
RengarRengar,TOP,Bad / D,31.05,-4.43,43.71%,21.30%,0.86%,3.21%,1.77
RivenRiven,TOP,Fair / B,42.64,-7.40,45.80%,87.94%,3.73%,1.01%,1.78
RumbleRumble,MID,Strong / S,57.38,+6.95,56.69%,41.32%,1.16%,0.38%,2.65
RumbleRumble,TOP,Weak / C,40.63,-10.80,48.18%,43.42%,0.98%,0.38%,1.91
RumbleRumble,JUNGLE,Bad / D,27.23,-12.27,43.68%,11.45%,0.26%,0.38%,2.45
RyzeRyze,MID,Weak / C,39.30,-6.15,46.94%,81.27%,1.94%,0.16%,2.14
RyzeRyze,TOP,Weak / C,38.88,+0.42,48.34%,15.04%,0.36%,0.16%,1.84
SamiraSamira,ADC,Strong / S,59.78,-0.56,51.48%,97.24%,8.65%,13.12%,2.25
SejuaniSejuani,JUNGLE,Strong / S,58.91,+12.31,51.11%,64.29%,5.30%,1.77%,3.23
SejuaniSejuani,TOP,Good / A,53.88,+2.97,51.35%,31.29%,2.53%,1.77%,2.43
SennaSenna,SUPPORT,Strong / S,57.09,-1.07,48.77%,88.90%,8.08%,4.40%,2.46
SeraphineSeraphine,SUPPORT,Good / A,52.61,-4.57,50.59%,63.09%,4.95%,4.03%,2.51
SeraphineSeraphine,ADC,Good / A,51.31,-5.36,54.35%,24.09%,2.04%,4.03%,3.01
SeraphineSeraphine,MID,Fair / B,43.85,-7.77,49.39%,12.60%,1.03%,4.03%,2.67
SettSett,TOP,God / S+,70.51,-3.13,50.95%,77.28%,9.99%,7.26%,1.73
SettSett,MID,Weak / C,39.27,-8.88,47.90%,12.25%,1.62%,7.26%,1.93
ShacoShaco,JUNGLE,Good / A,53.43,-4.56,49.65%,76.19%,4.57%,12.77%,2.74
ShacoShaco,SUPPORT,Fair / B,45.20,-4.82,51.92%,16.74%,0.96%,12.77%,2.50
ShenShen,TOP,Strong / S,65.11,+9.52,52.61%,85.87%,4.75%,1.15%,2.94
ShyvanaShyvana,JUNGLE,Fair / B,46.88,-2.68,50.19%,87.12%,2.50%,0.68%,2.76
SingedSinged,TOP,Good / A,51.76,+0.54,51.34%,77.36%,2.55%,1.33%,2.07
SingedSinged,MID,Good / A,49.45,+6.98,53.70%,11.57%,0.43%,1.33%,2.63
SionSion,TOP,Strong / S,57.19,+5.87,53.16%,76.49%,4.51%,1.00%,1.52
SivirSivir,ADC,Good / A,51.10,+1.85,50.06%,97.74%,6.81%,3.53%,2.49
SkarnerSkarner,JUNGLE,Fair / B,46.52,-2.14,51.47%,87.40%,0.95%,0.18%,3.10
SonaSona,SUPPORT,Strong / S,57.13,-3.62,52.34%,97.44%,4.88%,0.46%,3.02
SorakaSoraka,SUPPORT,Strong / S,60.24,-11.08,50.17%,95.34%,7.97%,5.28%,2.65
SwainSwain,MID,Strong / S,57.82,-2.91,53.08%,40.94%,3.23%,4.02%,2.61
SwainSwain,SUPPORT,Good / A,50.11,-2.41,51.79%,46.53%,3.27%,4.02%,2.40
SylasSylas,MID,God / S+,88.62,+14.27,49.11%,89.25%,13.60%,13.68%,2.10
SyndraSyndra,MID,God / S+,80.28,-7.68,49.59%,90.66%,11.51%,9.89%,2.21
Tahm KenchTahm Kench,TOP,Fair / B,47.60,+1.33,49.92%,53.94%,1.42%,0.85%,2.34
Tahm KenchTahm Kench,SUPPORT,Bad / D,32.31,-3.35,45.39%,35.82%,0.88%,0.85%,2.32
TaliyahTaliyah,MID,Fair / B,46.11,+6.13,51.26%,48.98%,1.54%,1.16%,2.17
TaliyahTaliyah,JUNGLE,Bad / D,36.40,-7.10,46.55%,40.06%,1.33%,1.16%,2.64
TalonTalon,MID,Fair / B,44.79,-4.04,49.22%,57.20%,2.32%,1.21%,2.14
TalonTalon,JUNGLE,Weak / C,42.14,+0.89,49.15%,41.21%,1.83%,1.21%,2.55
TaricTaric,SUPPORT,Good / A,53.03,-0.93,53.92%,88.06%,2.44%,0.62%,2.76
TeemoTeemo,TOP,Good / A,54.08,+1.37,49.95%,69.73%,4.76%,7.45%,1.77
TeemoTeemo,MID,Weak / C,39.17,999NEW,49.67%,10.20%,0.57%,7.45%,2.00
ThreshThresh,SUPPORT,Strong / S,62.17,-3.08,48.12%,96.20%,10.63%,2.84%,2.52
TristanaTristana,ADC,Strong / S,61.94,-3.46,50.90%,87.24%,10.30%,5.05%,2.43
TristanaTristana,MID,Fair / B,45.78,-6.44,51.66%,11.35%,1.35%,5.05%,2.06
TrundleTrundle,TOP,Fair / B,47.00,-0.82,52.17%,19.22%,0.78%,2.69%,1.78
TrundleTrundle,JUNGLE,Fair / B,45.77,-7.26,49.41%,75.64%,3.01%,2.69%,2.49
TryndamereTryndamere,TOP,Fair / B,47.85,+0.59,49.63%,81.61%,2.75%,4.29%,1.83
TryndamereTryndamere,MID,Weak / C,41.63,999NEW,51.06%,10.71%,0.35%,4.29%,2.13
Twisted FateTwisted Fate,MID,Weak / C,38.56,+2.12,46.38%,86.95%,1.91%,0.11%,2.21
TwitchTwitch,ADC,Good / A,52.80,-4.13,50.53%,73.79%,7.01%,8.47%,2.37
TwitchTwitch,MID,Weak / C,40.84,999NEW,48.99%,10.61%,0.87%,8.47%,2.33
UdyrUdyr,JUNGLE,God / S+,66.57,-13.08,51.51%,79.07%,6.78%,23.54%,2.66
UdyrUdyr,TOP,Fair / B,44.11,+2.56,49.20%,19.63%,1.47%,23.54%,1.76
UrgotUrgot,TOP,Good / A,51.54,+0.92,50.16%,90.38%,3.63%,1.44%,1.92
VarusVarus,MID,Fair / B,44.41,+0.64,50.07%,24.95%,1.86%,1.00%,2.06
VarusVarus,ADC,Fair / B,43.44,-4.21,48.12%,72.49%,5.93%,1.00%,2.36
VayneVayne,ADC,Weak / C,40.24,-0.85,47.97%,72.77%,5.44%,6.64%,1.98
VayneVayne,TOP,Weak / C,38.37,-10.78,46.92%,24.53%,1.76%,6.64%,1.53
VeigarVeigar,MID,Good / A,55.38,+2.57,51.53%,74.69%,3.82%,2.99%,2.34
VeigarVeigar,SUPPORT,Fair / B,46.27,+17.01,53.88%,10.19%,0.53%,2.99%,2.23
VeigarVeigar,ADC,Fair / B,43.03,+2.00,53.73%,12.47%,0.67%,2.99%,2.49
Vel'KozVel'Koz,SUPPORT,Fair / B,45.59,+2.19,51.49%,68.14%,1.98%,0.49%,2.26
Vel'KozVel'Koz,MID,Weak / C,39.61,-10.92,47.49%,28.73%,0.92%,0.49%,2.62
VexVex,MID,Strong / S,59.92,+0.56,49.85%,93.28%,5.69%,7.87%,2.38
ViVi,JUNGLE,Good / A,52.84,+4.78,51.23%,94.71%,4.53%,1.13%,2.41
ViegoViego,JUNGLE,Strong / S,58.88,+1.06,47.94%,93.88%,8.69%,3.83%,2.33
ViktorViktor,MID,God / S+,69.21,+1.50,49.98%,96.44%,8.41%,7.53%,2.27
VladimirVladimir,MID,Good / A,53.02,-0.89,48.86%,79.75%,4.38%,6.87%,2.34
VladimirVladimir,TOP,Bad / D,36.95,-1.41,46.15%,17.67%,1.11%,6.87%,1.85
VolibearVolibear,JUNGLE,Good / A,54.21,+3.45,52.85%,56.55%,3.24%,2.01%,2.82
VolibearVolibear,TOP,Fair / B,47.90,+3.09,50.70%,40.15%,2.11%,2.01%,1.81
WarwickWarwick,JUNGLE,Good / A,48.76,-5.72,50.00%,73.03%,3.97%,3.84%,2.29
WarwickWarwick,TOP,Fair / B,43.64,-4.35,48.93%,24.33%,1.45%,3.84%,1.95
WukongWukong,TOP,Good / A,52.70,+9.72,53.22%,42.16%,1.48%,1.12%,2.10
WukongWukong,JUNGLE,Good / A,49.74,+11.22,53.05%,52.93%,1.70%,1.12%,2.73
XayahXayah,ADC,Weak / C,38.82,-6.92,48.30%,97.70%,4.09%,0.31%,2.32
XerathXerath,MID,Good / A,50.34,+6.42,50.12%,38.57%,2.00%,2.64%,3.02
XerathXerath,SUPPORT,Fair / B,47.37,-0.70,50.12%,59.05%,3.16%,2.64%,2.56
Xin ZhaoXin Zhao,JUNGLE,Bad / D,32.45,-10.91,44.94%,85.46%,1.87%,0.26%,2.13
YasuoYasuo,MID,God / S+,67.70,+8.63,50.72%,74.36%,7.64%,15.58%,1.78
YasuoYasuo,TOP,Weak / C,37.49,-6.70,47.14%,12.67%,1.35%,15.58%,1.43
YasuoYasuo,ADC,Bad / D,29.21,-6.06,48.03%,11.70%,1.35%,15.58%,1.89
YoneYone,MID,God / S+,68.38,+6.14,51.82%,62.25%,7.42%,11.91%,1.91
YoneYone,TOP,Fair / B,48.36,+3.62,48.13%,34.75%,4.21%,11.91%,1.55
YorickYorick,TOP,Fair / B,48.50,-3.68,49.94%,91.82%,3.32%,4.15%,1.57
YuumiYuumi,SUPPORT,God / S+,93.00,+4.57,48.88%,98.86%,11.54%,43.73%,4.16
ZacZac,JUNGLE,Strong / S,59.95,+3.14,52.33%,75.82%,4.27%,3.36%,3.55
ZedZed,MID,God / S+,76.93,+8.52,51.46%,81.58%,7.23%,31.43%,2.32
ZedZed,JUNGLE,Weak / C,40.77,+6.80,48.24%,14.59%,1.41%,31.43%,2.49
ZeriZeri,ADC,Bad / D,13.16,-11.50,40.19%,86.48%,1.65%,0.81%,1.98
ZiggsZiggs,MID,Good / A,50.52,+5.93,51.54%,61.77%,2.22%,0.39%,2.48
ZiggsZiggs,ADC,Fair / B,44.03,+9.88,53.30%,28.74%,1.20%,0.39%,2.59
ZileanZilean,SUPPORT,Good / A,50.70,-1.02,50.88%,81.87%,2.96%,2.45%,3.18
ZileanZilean,MID,Good / A,49.86,+2.04,51.96%,15.48%,0.64%,2.45%,3.16
ZoeZoe,MID,Fair / B,44.08,-11.01,47.46%,83.17%,2.59%,1.69%,2.42
ZoeZoe,SUPPORT,Bad / D,29.72,-8.92,44.91%,14.71%,0.41%,1.69%,2.16
ZyraZyra,SUPPORT,Good / A,52.61,+0.60,52.14%,90.60%,4.36%,2.84%,2.22
